SENDER
NBCNews
OccupyDemocrats
CBSNews
JustTheNews
CTVNews
WashTimes
nytimes
washingtonpost
BLaw
AKNewsNow
nypost
nbcwashington
TheWeek
XHNews
excelsio
MyArkLaMiss
thedailybeast
seattletimes
WSJ
kdhnews
TheLeadCNN
UPI
TIME
detroitnews
newrepublic
AP
TribLIVE
CBSEveningNews
BreakingNews
WVTM13
Live5News
CP24
axios
abc3340
Reuters
WBRCnews
clevelanddotcom
USATODAY
wbkotv
NBCPolitics
NewCastleNews
wkyc
WTOV9
beaconjournal
wtwonews
NBCMontana
WCVB
WashTimesLocal
FoxNews
XHNorthAmerica
Daily_Press
WTRF7News
witfnews
MarketWatch
barronsonline
23WIFR
nbc15_madison
virginianpilot
wdsu
WLTX
ksbw
cleveland19news
markets
toledonews
TimesWV
kwqcnews
heralddispatch
Forbes
WINYRadio
komonews
Gizmodo
WGNNews
wwmtnews
WJACTV
CBS21NEWS
townhallcom
thehill
WKBN
kotatweets
KHQA
CrainsCleveland
KTTCTV
WKYT
KTXS_News
kytv
ksprnews
CBS4Local
waff48
WLKY
environment
wdam
WeirtonDlyTimes
fox11reno
KRNV
WCPO
nbc4i
FOX59
WESH
wyffnews4
KKTV11News
NewsNation
WXII
WTAE
WEWS
WRAL
WENYTV
ActionNewsJax
KNOPTV
905wesa
kcranews
WSPA7
world_news_ja
BDTonline
wave3news
ABC12WJRT
WMTWTV
globalnews
WFLA
YahooNews
wosunews
21WFMJ
WMUR9
KCCINews
WDTN
wchs8fox11
KEZI9
WPXI
kmbc
tribunedemocrat
10TV
sentineltribune
WISN12News
WPBF25News
koat7news
KETV
Independent
Local12
MyNBC5
4029news
WGAL
wbaltv11
16WAPTNews
koconews
wsls
KTVN
PatriotNews
KCRG
newschannelnine
semissourian
PennLive
CleveJN
DispatchAlerts
WNDU
BostonGlobe
fox8news
WinnipegNews
dailyitem
OANN
wsyx6
EastBayTimes
mercnews
CBS4Indy
MintPressNews
WOWT6News
foxcarolinanews
KCBD11
917wvxu
upnorthlive
HuffPostWomen
FortuneMagazine
wtaptelevision
WBAY
ErieNewsNow
13abc
KSTP
WOKVNews
orlandosentinel
WLWT
WVVA
WDTV5News
fox28columbus
kfvsnews
WNEMTV5news
fox11news
dayton247now
13NewsNow
cgtnamerica
whiotv
coshtribune
TimesRecorder
TROhio
EagleGazette
MansfieldNJ
NewarkAdvocate
TheMarionStar
pcnewsherald
ChilliGaz
CantonRepdotcom
fremontNM
RecordPub
BucyrusTF
Indedotcom
DailyJeff
timesgazette
alliancereview
TheDailyRecord
Enquirer
WTOL11Toledo
democracynow
BlazeTV
WNEP
jerseyjournal
BreitbartNews
starsandstripes
HeraldStar
PokJournal
fox43
wandtvnews
politico
FOX4
Law360
MotherJones
NEWSMAX
ConservNewsDly
freespeechtv
BlacklistedNews
HuffPostPol
ABCPolitics
NPR
ABCWorldNews
ABC30
CNN
ABC11_WTVD
abc13houston
business
nowthisnews
ABCNewsLive
NBCNightlyNews
usatodayDC
truthout
ABC7
KRIS6News
LEX18News
BBCWorld
HuffPost
ThisWeekABC
abc7newsbayarea
AtlBizChron
cnnbrk
EpochTimes
ABC7NY
MSNBC
kfdmnews
fox4beaumont
KSNTNews
ABC7Chicago
FOXBaltimore
NewsHour
6abc
ABC13News
TheOnion
GuardianUS
YahooFinance
TPostMillennial
cspan
wcti12
muncievoice
guardianeco
FOX5Atlanta
bakersfieldnow
theblaze
AmerMilNews
11thHour
VOA60News
FastCompany
CGTNOfficial
nytimesbusiness
newscourier
voxdotcom
AJEnglish
ABC
KTVOTV
FoxBusiness
TheCullmanTimes
TND
WAVY_News
News3LV
BloombergRadio
TiffinOhioNews
WETM18News
cspanwj
weareiowa5news
kxly4news
OKCFOX
iowasnewsnow
NTVNEWS
WHSVnews
KOAA
WGXAnews
KFOX14
WSBT
wabenews
news5wcyb
donlemon
wnct9
TheIJR
TODAYshow
NorthBayNews
dcexaminer
25NewsKRHD
25NewsKXXV
KAMCNews
itvnews
weartv
abc4utah
wbir
news4buffalo
DailyCaller
AFP
KSNNews
TexomasHomepage
KESQ
calgarysun
PulpNews
MyStateline
ians_india
ChinaDaily
kgun9
WHIORadio
NECN
aldotcom
ksannews
5NEWS
6News
kfor
MailOnline
TimesFreePress
11AliveNews
NewsNetNews
TheTorontoSun
WSAV
DaytonsCW
helenaironline
OWHnews
DailyProgress
wacotrib
ThePressofAC
roanoketimes
WiStateJournal
oanow
nwi
madisondotcom
twinfallstn
cumberlink
NPTelegraph
ValleyNewsToday
sbstarherald
missoulian
KearneyHub
bistrib
RTDNEWS
wcfcourier
nonpareilonline
NewsandRecord
Pantagraph
JournalNow
Journaltimes
FremontTribune
TheTandD
The_Citizen
NapaRegister
statesville
poststar
heraldandreview
NewsInTheBurg
MorgantonNews
heraldcourier
Dispatch_Argus
RCJournal
LaCrosseTribune
